State,District,Tehsil/Block,Postmonsoon of2000,Postmonsoon of2001,Postmonsoon of2002,Postmonsoon of2003,Postmonsoon of2004,Postmonsoon of2005,Postmonsoon of2006,Postmonsoon of2007,Postmonsoon of2008,Postmonsoon of2009,Postmonsoon of2010,Postmonsoon of2011,Postmonsoon of2012,Postmonsoon of2013,Postmonsoon of2014,Postmonsoon of2015,Postmonsoon of2016,Postmonsoon of2017
KARNATAKA,BAGALKOT,BADAMI ,27.93,56.76,79.75,79.53,99.58,104.72,82.69,77.07,70.79,59.33,63.83,70.99,81.78,62.57,74.08,76.42,75.27,73.86
KARNATAKA,BAGALKOT,BAGALKOT ,38.94,39.98,55.34,71.19,73.36,75.88,46.58,88.12,103.58,61.73,70.13,108.75,119.25,119.29,125.94,126.54,119.18,25.3
KARNATAKA,BAGALKOT,BILGI ,3.07,6.14,10.59,10.96,10.75,18.03,20.92,13.4,13.04,4.79,5.14,13.17,13.01,13.88,12.72,14.19,14.59,3.14
KARNATAKA,BAGALKOT,HUNGUND ,46.7,56.79,52.05,60.8,59.07,67.09,76.33,47.99,47.34,41.08,48.74,50.25,57.72,48.12,62.17,65.64,61.97,55.46
KARNATAKA,BAGALKOT,JAMKHANDI ,16.13,21.79,25.96,31.97,32.93,43.47,50.96,28.81,47.97,24.96,29.46,48.4,58.71,35.82,50.11,48.51,49.31,33.87
KARNATAKA,BAGALKOT,MUDHOL ,2.93,3.1,3.7,7.74,3.48,3.24,6.18,8.32,5.48,5.85,4.1,7.84,9.22,19.69,8.65,6.39,9.12,7.44
KARNATAKA,BANGALORE,ANEKAL ,69.07,62.09,67.58,84.16,69.84,65.6,66.87,74.68,72.86,76.28,78.81,77.73,97.61,96.45,110.84,103.37,92.32,78.52
KARNATAKA,BANGALORE,BANGALORE EAST ,13.6,17.07,20.17,20.91,14.53,14.95,15.15,53.21,50.09,64.37,71.51,74.05,101.74,93.5,93.56,92.79,103.32,70.36
KARNATAKA,BANGALORE,BANGALORE NORTH ,91.72,97.79,129.37,128.3,147.66,131.73,153.25,149.09,140.57,156.1,160.93,159.59,172.67,177.59,141.07,157.9,140.51,101.61
KARNATAKA,BANGALORE,BANGALORE SOUTH ,21.75,24.11,29.52,30.85,27.69,17.57,70.53,94.39,89.25,76.93,80.37,68.53,123.57,132.95,127.72,121.61,86.39,49.08
KARNATAKA,BANGALORE RURAL,DEVANHALLI ,41.89,42.3,59.16,62.35,63.47,54.97,65.86,70.6,67.42,69.31,72.02,70.75,83.72,84.06,85.66,60.48,60.32,50.09
KARNATAKA,BANGALORE RURAL,DOD BALLAPUR ,55.24,59.88,76.76,83.16,100.53,103.62,112.27,105.89,92.25,85.39,96.62,102.57,131.63,127.18,106.64,100.84,82.64,67.33
KARNATAKA,BANGALORE RURAL,HOSKOTE ,16.94,19.1,43.67,30.28,30.27,29.01,36.61,76.91,83.18,85.61,85.6,78.89,77.37,76.81,62.82,68.82,67.94,87.79
KARNATAKA,BANGALORE RURAL,NELAMANGALA ,20.21,26.5,42.31,48.46,28.19,20.09,36.16,29.88,20.17,34.41,34.68,28.91,45.66,38.08,15.13,21.17,24.82,16.24
KARNATAKA,BELGAUM,ATHNI ,61.43,52.46,77.64,112.27,60.52,80.37,49.19,60.25,78.34,41.43,52.14,113.23,105.29,81.94,61.76,68.07,76.48,55.56
KARNATAKA,BELGAUM,BAILAHONGAL ,81,94.64,113.1,116.2,105.53,73.9,93.39,98.64,95.45,32.7,31.96,49.6,52.48,80.39,84.85,89.28,79.61,69.15
KARNATAKA,BELGAUM,BELGAUM ,48.55,62.66,52.85,73.08,62.38,49.53,44.7,41.19,48.17,47.84,47.45,58.88,50.02,51.37,35.53,57.75,47.72,44.81
KARNATAKA,BELGAUM,CHIKODI ,69.47,85.99,76.23,99.07,67.28,58.46,78.52,94.11,78.23,57.64,48.37,74.63,96.65,87.86,75.41,59.16,64.91,49.33
KARNATAKA,BELGAUM,GOKAK ,68.48,74.09,89.97,91.24,64.34,66.24,54.87,48.38,53.74,42.27,40.4,45.63,46.9,52.44,49.78,69.52,56.9,36.98
KARNATAKA,BELGAUM,HUKERI ,61.31,54.34,67.39,79.08,59.77,44.59,63.61,60.35,54.66,47.19,40.21,60.11,79.9,63,60.76,93.4,86.28,75.61
KARNATAKA,BELGAUM,KHANAPUR ,41.37,89.52,82.65,86.15,88.64,63.98,63.36,68.15,91.08,91.63,92.64,34.77,37.56,38.69,30.22,39.93,33.12,38.93
KARNATAKA,BELGAUM,RAMDURG ,23.76,28.34,41.28,39.52,39.39,33,30.86,27.94,34.79,29.73,25.38,33.02,42.48,53.89,59.36,61.29,35.98,27.78
KARNATAKA,BELGAUM,RAYBAG ,34.78,51.35,64.49,80.64,43.65,70.17,59.96,68.88,53.22,40.7,30.75,48.78,69.2,68.55,53.28,91.25,78.23,47.93
KARNATAKA,BELGAUM,SAUNDATTI ,93.94,103.31,129.91,123.02,130.34,122.08,104.75,85.39,93.33,85.16,79.41,55.7,72.22,88.86,79.89,105.02,48.53,31.09
KARNATAKA,BELLARY,BELLARY ,43.8,49.48,79.88,89.75,81.98,49.48,106.5,100.26,96,62.92,58.52,68.99,77.51,79.84,64.97,130.84,85.98,70.22
KARNATAKA,BELLARY,HADAGALLI ,65.71,89.32,95.08,102.67,93.51,80.12,79.55,55.82,71.43,56.53,56.23,68.62,83.54,77.03,73.39,97.44,101.3,98.56
KARNATAKA,BELLARY,HAGARIBOMMANAHALLI ,27.7,24.78,36.44,36.07,35.93,40.37,40.37,30.78,16.27,22.28,23.39,31.88,34.92,28.79,27.31,37.5,37.55,33.5
KARNATAKA,BELLARY,HOSPET ,25.02,22.5,35.24,37.5,39.99,22.17,35.33,34.11,32.16,20.92,21.4,30.89,34.03,36.14,31.38,39.2,38.12,19.46
KARNATAKA,BELLARY,KUDLIGI ,107.15,104.72,131.78,144.55,133.12,121.72,155.06,136.49,149.65,110.66,96.3,117.41,128.47,91.14,73.69,78.86,81.09,84.06
KARNATAKA,BELLARY,SANDUR ,26.79,25.28,43.62,51.42,48.75,42.05,37.59,37.88,45.46,23.65,21.28,32.9,32.68,31.28,34.24,35.98,36.25,31.75
KARNATAKA,BELLARY,SIRUGUPPA ,19.06,18.72,29.87,31.59,42.77,33.97,28.74,4.72,12.47,16.69,16.34,12.42,13.49,16.67,16.59,16.6,5.25,3.15
KARNATAKA,BIDAR,AURAD ,24.42,33.08,36.04,37.05,26.81,34.55,28.22,31.77,25.7,27.92,16.01,21.51,23.56,21.6,36.52,33.66,16.2,16.4
KARNATAKA,BIDAR,BASAVAKALYAN ,44.58,43.68,58.82,58.64,49.07,48.79,55.86,42.4,29.52,50.14,29.33,44.47,36.07,73.64,83.49,132.88,67.87,68.12
KARNATAKA,BIDAR,BHALKI ,21.76,34.9,40.27,50.29,53.61,43.69,43.54,57.58,47.37,62.58,43.79,58.34,30.19,90.48,84.63,101.59,26.63,32.41
KARNATAKA,BIDAR,BIDAR ,69.3,78.52,81.02,81.6,91.74,85.52,69.69,60.99,44.16,61.92,51.49,76.69,76.3,52.2,75.38,84.73,48.82,45.8
KARNATAKA,BIDAR,HOMNABAD ,106.51,112.98,141.5,144.21,151.04,136.99,131.37,111.72,102.69,76.71,57.57,74.46,70.94,152.6,195.81,206.51,87.54,64.74
KARNATAKA,BIJAPUR,BASAVANA BAGEVADI ,75.06,78.28,79.24,106.68,96.34,93.66,80.45,61.84,77.72,34.83,44.98,78.65,91.63,155.1,160.43,149.02,74.26,37.76
KARNATAKA,BIJAPUR,BIJAPUR ,63.87,66.04,100.48,94.89,98.74,92.64,75.94,88.5,102.69,66.19,52.33,102.4,102.45,190.08,182.53,189.34,118.34,93.66
KARNATAKA,BIJAPUR,INDI ,75.64,73.89,85.68,89.39,108.44,86.9,83.29,119.6,131.42,83.24,100.94,144.66,127,108.98,125.04,139.5,127.63,118.91
KARNATAKA,BIJAPUR,MUDDEBIHAL ,55.45,43.73,50.76,65.06,61.9,53.63,71.44,49.74,58.56,37.41,41.51,62.03,65.28,91.17,48.55,51.42,57.9,33.4
KARNATAKA,BIJAPUR,SINDGI ,44.1,45.25,53.08,53.32,53.65,54.82,51.16,37.85,66.22,48.84,51.24,67.72,56.64,92.47,88.51,98.08,47.84,46.89
KARNATAKA,CHAMRAJNAGAR,CHAMRAJNAGAR ,59.31,67.28,86.85,86.63,87.65,52.51,80.89,82.9,76.45,90.35,84.96,76.42,99.2,87.41,62.16,100,69.78,59.76
KARNATAKA,CHAMRAJNAGAR,GUNDLUPET ,75.15,71.15,72.97,87.9,65.66,52.21,66.54,60.71,79.99,86.29,82.39,74.06,95.54,108.34,80.98,78.59,77.34,75.59
KARNATAKA,CHAMRAJNAGAR,KOLLEGAL ,15.85,23.72,40.64,39.72,13.82,26.81,32.38,34.81,46.22,51.95,45.18,46.08,57.45,57.74,42.94,40.69,76.33,47.4
KARNATAKA,CHAMRAJNAGAR,YELANDUR ,13.42,21.23,21.13,20.84,16.04,10.71,12.99,10.71,15.32,18.28,11.62,15.26,25.06,22.65,21.2,14.52,36.22,29.98
KARNATAKA,CHIKKABALLAPURA,BAGEPALLI ,57.33,42.84,62.34,79.75,84.51,100.88,86.21,81.99,57.9,87.01,73.11,35.29,66.31,143.14,166.23,168.96,96.36,96.36
KARNATAKA,CHIKKABALLAPURA,CHIK BALLAPUR ,31.81,33.82,45.89,70.36,80.49,98.87,153.31,190.8,120.8,113.63,106.85,103.51,128.72,190.51,191.61,187.7,62.61,58.21
KARNATAKA,CHIKKABALLAPURA,CHINTAMANI ,3.07,31.18,34.26,86.82,101.76,100.35,102.24,95.68,105.39,112.43,120.47,113.59,111.58,221.07,221.95,229.42,105,100.86
KARNATAKA,CHIKKABALLAPURA,GAURIBIDANUR ,74.67,63.93,97.43,109.95,163.47,169.04,172.02,87.23,125.39,120.49,113.61,106.78,95.87,240.3,266.8,248.49,162.48,105.09
KARNATAKA,CHIKKABALLAPURA,GUDIBANDA ,15.38,14.5,18.4,19.2,19.2,19.2,0,0,20.9,20.9,20.9,0,0,69.05,69.05,58.55,58.55,58.55
