State,District,Tehsil/Block,Premonsoon of2000,Premonsoon of2001,Premonsoon of2002,Premonsoon of2003,Premonsoon of2004,Premonsoon of2005,Premonsoon of2006,Premonsoon of2007,Premonsoon of2008,Premonsoon of2009,Premonsoon of2010,Premonsoon of2011,Premonsoon of2012,Premonsoon of2013,Premonsoon of2014,Premonsoon of2015,Premonsoon of2016,Premonsoon of2017
KARNATAKA,BAGALKOT,BADAMI ,29.07,61.21,79.83,79.38,97.01,95.97,94.85,93.54,94.48,80.63,66.23,70.32,77.4,85.65,73.67,81.42,84.18,81.19
KARNATAKA,BAGALKOT,BAGALKOT ,53.23,57.78,70.23,69.99,73.36,73.36,46.58,74.66,114.08,116.88,84.53,120.16,120.9,136.2,129.18,126.54,126.54,84.6
KARNATAKA,BAGALKOT,BILGI ,7.91,9.34,10.29,13.14,17.38,15.38,22.14,17.32,13.94,14.84,14.64,13.45,14.12,15.29,13.69,19.79,22.64,8.39
KARNATAKA,BAGALKOT,HUNGUND ,58.62,68.34,61.08,65.88,73.37,68.24,83.66,87.32,60.8,63.25,54.3,63.12,63.51,74.19,65.4,70.46,72.46,67.08
KARNATAKA,BAGALKOT,JAMKHANDI ,12.38,24.66,27.75,31.94,45.82,47.83,56.41,48.36,52.23,57.5,55.31,63.53,72.91,70.24,57.13,53.17,72.41,52.19
KARNATAKA,BAGALKOT,MUDHOL ,6.17,7.3,9,10.15,4.25,7.92,8,13.83,11.55,10.8,11.25,9.09,11.5,11.78,9.64,15.04,13.06,9.64
KARNATAKA,BANGALORE,ANEKAL ,62.88,75.78,67.07,74.35,80.1,74.38,64.42,68.57,95.95,84.82,80.44,84.62,88.48,120.79,104.5,111.72,105.81,95.39
KARNATAKA,BANGALORE,BANGALORE EAST ,17.03,16.55,18.78,20.91,20.97,15.12,12.52,53.92,55.98,58.15,71.23,81.39,79.22,87.46,95.51,79.58,94.12,95.28
KARNATAKA,BANGALORE,BANGALORE NORTH ,99.81,109.9,115.31,137.88,166.81,153.48,133.43,163.66,152.87,171.35,178.13,171.4,150.36,193.19,178.26,156.07,158.51,132.87
KARNATAKA,BANGALORE,BANGALORE SOUTH ,31.07,28.22,32,33.25,38.74,31.86,28.29,94.15,112.27,109.15,93.13,87.38,93.04,156.66,154.96,135.72,129.1,108.27
